shift	center	amp	phase
-908.212E-3	31.3223E+3	208.252E-12	113.268E+0
-917.527E-3	31.3223E+3	227.254E-12	113.537E+0
-926.842E-3	31.3223E+3	207.981E-12	108.940E+0
-936.157E-3	31.3223E+3	217.370E-12	113.400E+0
-945.472E-3	31.3223E+3	209.171E-12	110.251E+0
-954.787E-3	31.3223E+3	197.115E-12	112.256E+0
-964.102E-3	31.3223E+3	206.695E-12	112.264E+0
-973.417E-3	31.3223E+3	209.969E-12	111.567E+0
-982.732E-3	31.3223E+3	222.273E-12	111.264E+0
-992.047E-3	31.3223E+3	198.070E-12	107.904E+0
-1.00136E+0	31.3223E+3	196.758E-12	114.296E+0
-1.01068E+0	31.3223E+3	197.466E-12	112.188E+0
-1.01999E+0	31.3223E+3	199.235E-12	109.101E+0
-1.02931E+0	31.3223E+3	182.603E-12	109.639E+0
-1.03862E+0	31.3223E+3	187.559E-12	109.533E+0
-1.04794E+0	31.3223E+3	184.385E-12	107.022E+0
-1.05725E+0	31.3223E+3	166.390E-12	111.031E+0
-1.06657E+0	31.3223E+3	164.413E-12	116.861E+0
-1.07588E+0	31.3223E+3	176.258E-12	117.866E+0
-1.08520E+0	31.3223E+3	187.023E-12	115.896E+0
-1.09451E+0	31.3223E+3	199.629E-12	113.402E+0
-1.10383E+0	31.3223E+3	192.135E-12	109.044E+0
-1.11314E+0	31.3223E+3	193.360E-12	109.381E+0
-1.12246E+0	31.3223E+3	181.947E-12	116.993E+0
-1.13177E+0	31.3223E+3	184.830E-12	118.567E+0
-1.14109E+0	31.3223E+3	170.089E-12	115.342E+0
-1.15040E+0	31.3223E+3	164.348E-12	111.025E+0
-1.15972E+0	31.3223E+3	178.053E-12	105.026E+0
-1.16903E+0	31.3223E+3	178.925E-12	108.836E+0
-1.17835E+0	31.3223E+3	187.031E-12	105.585E+0
-1.18766E+0	31.3223E+3	188.418E-12	116.001E+0
-1.19698E+0	31.3223E+3	184.130E-12	116.023E+0
-1.20629E+0	31.3223E+3	173.709E-12	115.367E+0
-1.21561E+0	31.3223E+3	175.586E-12	110.612E+0
-1.22492E+0	31.3223E+3	157.127E-12	109.162E+0
-1.23424E+0	31.3223E+3	174.111E-12	108.455E+0
-1.24355E+0	31.3223E+3	166.372E-12	108.449E+0
-1.25287E+0	31.3223E+3	166.543E-12	108.853E+0
-1.26218E+0	31.3223E+3	160.954E-12	111.145E+0
-1.27150E+0	31.3223E+3	152.749E-12	113.082E+0
-1.28081E+0	31.3223E+3	153.275E-12	107.879E+0
-1.29013E+0	31.3223E+3	161.583E-12	110.040E+0
-1.29944E+0	31.3223E+3	170.884E-12	118.094E+0
-1.30876E+0	31.3223E+3	144.872E-12	121.644E+0
-1.31807E+0	31.3223E+3	142.115E-12	116.286E+0
-1.32739E+0	31.3223E+3	138.824E-12	110.635E+0
-1.33670E+0	31.3223E+3	157.323E-12	112.627E+0
-1.34602E+0	31.3223E+3	156.815E-12	109.151E+0
-1.35533E+0	31.3223E+3	156.284E-12	114.258E+0
-1.36465E+0	31.3223E+3	147.852E-12	112.765E+0
-1.37396E+0	31.3223E+3	146.586E-12	108.469E+0
-1.38328E+0	31.3223E+3	143.363E-12	113.885E+0
-1.39259E+0	31.3223E+3	136.666E-12	113.346E+0
-1.40191E+0	31.3223E+3	147.887E-12	110.163E+0
-1.41122E+0	31.3223E+3	145.723E-12	110.744E+0
-1.42054E+0	31.3223E+3	137.916E-12	110.725E+0
-1.42985E+0	31.3223E+3	143.159E-12	110.226E+0
-1.43917E+0	31.3223E+3	146.987E-12	111.763E+0
-1.44848E+0	31.3223E+3	138.558E-12	114.434E+0
-1.45780E+0	31.3223E+3	146.106E-12	110.737E+0
-1.46711E+0	31.3223E+3	123.878E-12	111.106E+0
-1.47643E+0	31.3223E+3	140.873E-12	109.158E+0
-1.48574E+0	31.3223E+3	131.898E-12	111.552E+0
-1.49506E+0	31.3223E+3	152.091E-12	111.849E+0
-1.50437E+0	31.3223E+3	128.812E-12	109.606E+0
-1.51369E+0	31.3223E+3	140.002E-12	112.135E+0
-1.52300E+0	31.3223E+3	128.130E-12	117.594E+0
-1.53232E+0	31.3223E+3	131.022E-12	112.132E+0
-1.54163E+0	31.3223E+3	136.576E-12	112.384E+0
-1.55095E+0	31.3223E+3	122.082E-12	111.161E+0
-1.56026E+0	31.3223E+3	130.582E-12	113.026E+0
-1.56958E+0	31.3223E+3	123.229E-12	111.835E+0
-1.57889E+0	31.3223E+3	132.922E-12	110.087E+0
-1.58821E+0	31.3223E+3	121.595E-12	109.367E+0
-1.59752E+0	31.3223E+3	130.894E-12	116.530E+0
-1.60684E+0	31.3223E+3	118.630E-12	115.610E+0
-1.61615E+0	31.3223E+3	129.236E-12	112.101E+0
-1.62547E+0	31.3223E+3	122.879E-12	113.292E+0
-1.63478E+0	31.3223E+3	119.572E-12	114.097E+0
-1.64410E+0	31.3223E+3	120.445E-12	114.822E+0
-1.65341E+0	31.3223E+3	120.459E-12	111.938E+0
-1.66273E+0	31.3223E+3	127.146E-12	110.129E+0
-1.67204E+0	31.3223E+3	116.231E-12	115.184E+0
-1.68136E+0	31.3223E+3	117.490E-12	107.731E+0
-1.69067E+0	31.3223E+3	117.338E-12	111.041E+0
-1.69999E+0	31.3223E+3	115.458E-12	113.432E+0
-1.70930E+0	31.3223E+3	124.618E-12	111.516E+0
-1.71862E+0	31.3223E+3	111.182E-12	111.374E+0
-1.72793E+0	31.3223E+3	125.172E-12	116.856E+0
