Experiment	Frequency Sweep	
Date	30.04.2017 16:50:36	
User		
f_res (Hz)	31692.5183	
Q	17681	
Phase (deg)	-59.97	
Amp/Exc (nm/mV)	0.319250	
Number of points	512	
Fit length	11	

[DATA]
Frequency Shift (Hz)	Center Frequency (Hz)	Amplitude (m)	Phase (deg)
8.33521E+0	31.6915E+3	379.288E-12	-78.8493E+0
8.40997E+0	31.6915E+3	376.332E-12	-79.3037E+0
8.48472E+0	31.6915E+3	371.424E-12	-78.8750E+0
8.55948E+0	31.6915E+3	369.269E-12	-79.4197E+0
8.63424E+0	31.6915E+3	365.419E-12	-79.2923E+0
8.70899E+0	31.6915E+3	361.549E-12	-78.8843E+0
8.78375E+0	31.6915E+3	358.943E-12	-79.0359E+0
8.85850E+0	31.6915E+3	353.098E-12	-79.4158E+0
8.93326E+0	31.6915E+3	350.382E-12	-78.9210E+0
9.00801E+0	31.6915E+3	348.272E-12	-78.9328E+0
9.08277E+0	31.6915E+3	342.406E-12	-78.9745E+0
9.15753E+0	31.6915E+3	340.939E-12	-79.4814E+0
9.23228E+0	31.6915E+3	337.674E-12	-79.1964E+0
9.30704E+0	31.6915E+3	337.631E-12	-79.5656E+0
9.38179E+0	31.6915E+3	333.303E-12	-79.9310E+0
9.45655E+0	31.6915E+3	323.288E-12	-78.9635E+0
9.53130E+0	31.6915E+3	325.174E-12	-79.6559E+0
9.60606E+0	31.6915E+3	322.086E-12	-80.0401E+0
9.68081E+0	31.6915E+3	319.725E-12	-79.9504E+0
9.75557E+0	31.6915E+3	319.957E-12	-80.1152E+0
9.83033E+0	31.6915E+3	316.154E-12	-79.8200E+0
9.90508E+0	31.6915E+3	311.982E-12	-79.9403E+0
9.97984E+0	31.6915E+3	310.124E-12	-80.3364E+0
10.0546E+0	31.6915E+3	309.054E-12	-80.3570E+0
10.1293E+0	31.6915E+3	306.898E-12	-79.8580E+0
10.2041E+0	31.6915E+3	304.263E-12	-79.7515E+0
10.2789E+0	31.6915E+3	300.534E-12	-80.0186E+0
10.3536E+0	31.6915E+3	296.684E-12	-80.0338E+0
10.4284E+0	31.6915E+3	294.336E-12	-80.1005E+0
10.5031E+0	31.6915E+3	291.286E-12	-79.9507E+0
10.5779E+0	31.6915E+3	290.401E-12	-79.8631E+0
10.6526E+0	31.6915E+3	289.023E-12	-80.3559E+0
10.7274E+0	31.6915E+3	285.450E-12	-80.4198E+0
10.8021E+0	31.6915E+3	285.946E-12	-80.8395E+0
10.8769E+0	31.6915E+3	281.325E-12	-81.0057E+0
10.9517E+0	31.6915E+3	279.663E-12	-80.6192E+0
11.0264E+0	31.6915E+3	276.919E-12	-80.5255E+0
11.1012E+0	31.6915E+3	277.507E-12	-80.7782E+0
11.1759E+0	31.6915E+3	274.443E-12	-80.8344E+0
